Brand_c,Price,Kilometers,Seats,Doors,Brand_Model_code,Car_Age,Country_c,Gearbox_c,Fuel_c,Seller_c,Type_c,Drivetrain_c,Upholstery_c,Color_c,Body_Type_c
26,98590.0,50.0,4.0,2.0,26.439,1,0,0,0,0,4,1,4,1,4
26,62190.0,5.0,5.0,5.0,26.37,1,0,0,2,0,2,1,1,1,0
26,64490.0,10.0,5.0,5.0,26.37,1,0,0,2,0,2,1,1,1,0
26,63890.0,8312.0,5.0,5.0,26.188,2,0,0,2,0,0,1,1,5,0
26,67450.0,10000.0,5.0,5.0,26.188,2,0,0,2,0,0,1,1,2,0
28,79900.0,0.0,5.0,5.0,28.496,0,0,0,3,0,1,1,1,0,0
28,158720.0,25.0,6.0,5.0,28.59,0,0,0,0,0,1,1,1,2,0
28,139800.0,21.0,7.0,5.0,28.59,0,0,0,0,0,1,1,1,0,0
28,154720.0,25.0,6.0,5.0,28.59,0,0,0,0,0,1,1,1,0,0
28,125290.0,0.0,8.0,5.0,28.59,0,0,0,0,0,1,1,1,0,0
28,125290.0,0.0,7.0,5.0,28.59,0,0,0,0,0,1,1,1,1,0
28,131950.0,50.0,8.0,5.0,28.59,0,0,0,0,0,1,1,1,2,0
28,72900.0,110126.0,7.0,5.0,28.59,6,2,0,0,0,0,1,1,3,0
28,150645.0,0.0,5.0,4.0,28.59,0,3,0,0,0,1,1,1,0,0
28,79900.0,0.0,5.0,5.0,28.496,0,0,0,3,0,1,1,1,0,0
28,64800.0,50.0,5.0,5.0,28.218,0,4,0,0,0,1,1,1,1,0
28,131950.0,50.0,8.0,5.0,28.59,0,0,0,4,0,1,1,1,2,0
28,94900.0,83318.0,7.0,5.0,28.59,4,1,0,0,0,0,1,1,0,0
28,64500.0,54000.0,8.0,5.0,28.59,7,6,0,9,0,0,1,0,7,0
28,119000.0,16470.0,7.0,4.0,28.59,3,6,0,0,0,0,1,1,0,0
28,74970.0,38412.0,7.0,5.0,28.59,7,6,0,0,0,0,1,1,2,0
28,63550.0,1001.0,5.0,2.0,28.197,69,0,0,0,1,5,2,2,5,4
28,69950.0,81744.0,5.0,4.0,28.122,7,2,0,0,0,0,2,1,1,1
28,89950.0,37654.0,5.0,4.0,28.122,6,2,0,0,0,0,2,1,0,1
28,158720.0,25.0,6.0,5.0,28.59,0,0,0,0,0,1,1,1,2,0
28,139800.0,21.0,7.0,5.0,28.59,0,0,0,0,0,1,1,1,0,0
28,82990.0,83155.0,7.0,5.0,28.59,6,4,0,0,0,0,1,1,0,0
28,122850.0,10000.0,8.0,5.0,28.59,2,0,0,0,0,3,1,1,0,0
28,99950.0,37338.0,7.0,4.0,28.59,3,0,0,0,0,0,1,1,0,0
28,119990.0,12900.0,7.0,5.0,28.59,1,0,0,0,0,3,1,1,0,0
28,252890.0,10.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,0,0
28,154720.0,25.0,6.0,5.0,28.59,0,0,0,0,0,1,1,1,0,0
28,174950.0,25000.0,7.0,5.0,28.59,2,2,0,0,0,0,1,1,0,0
28,125290.0,0.0,8.0,5.0,28.59,0,0,0,0,0,1,1,1,0,0
28,113900.0,12900.0,8.0,5.0,28.59,2,0,0,7,0,0,1,1,3,0
28,199790.0,450.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,0,0
28,229990.0,0.0,7.0,5.0,28.59,0,4,0,0,0,1,1,1,2,0
28,129500.0,34004.0,7.0,5.0,28.59,10,2,0,0,1,0,1,4,0,0
28,189900.0,0.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,0,0
28,125290.0,0.0,7.0,5.0,28.59,0,0,0,0,0,1,1,1,1,0
28,208700.0,0.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,0,0
28,131950.0,50.0,8.0,5.0,28.59,0,0,0,0,0,1,1,1,2,0
28,127190.0,0.0,8.0,5.0,28.59,0,0,0,0,0,1,1,1,0,0
28,108500.0,41000.0,7.0,4.0,28.59,4,0,0,0,0,0,1,1,2,0
28,199800.0,0.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,0,0
28,135000.0,255.0,7.0,5.0,28.59,2,0,0,1,1,0,1,1,0,0
28,125290.0,0.0,7.0,5.0,28.59,0,0,0,0,0,1,1,1,2,0
28,150400.0,0.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,0,0
28,131950.0,50.0,8.0,5.0,28.59,0,0,0,4,0,1,1,1,2,0
28,119990.0,12900.0,7.0,5.0,28.59,1,0,0,0,0,3,1,1,0,0
28,119000.0,36790.0,8.0,5.0,28.59,3,1,2,0,0,0,1,1,0,3
28,90000.0,40000.0,6.0,2.0,28.144,65,0,0,0,1,0,2,1,0,6
28,137000.0,0.0,7.0,5.0,28.59,0,1,0,0,0,1,1,1,0,0
28,119700.0,0.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,8,0
28,122490.0,6000.0,6.0,5.0,28.59,1,0,0,0,0,3,1,1,2,0
28,74900.0,53380.0,8.0,5.0,28.59,8,1,0,0,0,0,1,1,0,0
28,115990.0,300.0,7.0,4.0,28.59,0,0,0,0,0,1,1,0,0,0
28,119700.0,0.0,7.0,4.0,28.59,0,0,0,0,0,1,1,1,0,0
28,94500.0,59841.0,7.0,5.0,28.59,4,3,0,0,0,0,1,1,0,0
28,63000.0,5000.0,4.0,2.0,28.15,10,4,0,0,0,0,2,1,2,4
24,89950.0,24503.0,7.0,4.0,24.721,2,0,0,1,0,0,1,1,2,0
24,110499.0,21.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,0,4
24,63535.0,4198.0,5.0,5.0,24.636,1,0,0,0,0,0,1,0,0,0
24,89950.0,50.0,8.0,5.0,24.721,0,0,0,4,0,1,1,1,0,0
24,65499.0,10.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,1,4
24,63890.0,19.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,0,4
24,108790.0,22.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,3,4
24,89950.0,50.0,8.0,5.0,24.721,0,0,0,0,0,1,1,1,0,0
24,63890.0,16.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,1,4
24,63890.0,10.0,4.0,2.0,24.47,0,0,0,0,0,1,1,1,5,4
24,76900.0,24.0,5.0,4.0,24.636,0,0,0,0,0,1,1,1,0,0
24,69900.0,24000.0,7.0,4.0,24.64,2,0,0,0,0,0,1,1,0,0
24,74900.0,8811.0,2.0,2.0,24.999,8,1,0,0,0,0,2,1,5,4
24,96900.0,33700.0,2.0,3.0,24.999,3,1,0,0,0,0,2,2,2,4
24,79890.0,50.0,7.0,4.0,24.64,0,0,0,0,0,1,1,1,1,0
24,65990.0,18500.0,5.0,4.0,24.636,2,0,0,0,0,0,1,1,0,0
24,107750.0,70526.0,2.0,2.0,24.999,9,2,0,0,0,0,2,1,2,4
24,74900.0,0.0,5.0,5.0,24.636,0,1,0,0,0,1,1,1,1,0
24,119969.0,0.0,2.0,2.0,24.999,0,1,0,0,0,1,2,1,9,6
24,92565.0,0.0,5.0,5.0,24.721,0,3,0,0,0,1,1,0,0,0
24,139800.0,50.0,5.0,4.0,24.636,0,4,0,1,0,1,1,1,3,0
24,84950.0,121346.0,5.0,2.0,24.999,61,2,0,0,0,5,1,1,5,6
24,117871.0,24.0,5.0,4.0,24.636,1,2,0,4,0,1,1,1,0,8
24,68910.0,78899.0,5.0,4.0,24.636,5,2,0,4,0,0,1,0,0,8
