Brand_c,Price,Kilometers,Seats,Doors,Brand_Model_code,Car_Age,Country_c,Gearbox_c,Fuel_c,Seller_c,Type_c,Drivetrain_c,Upholstery_c,Color_c,Body_Type_c
0,11500.0,33000.0,5.0,5.0,0.293,7,1,1,0,0,0,0,0,1,1
0,9900.0,90561.0,5.0,5.0,0.224,4,1,1,0,0,0,0,0,2,1
0,8500.0,70000.0,5.0,5.0,0.293,8,1,1,1,0,0,0,0,1,1
0,7950.0,13500.0,4.0,3.0,0.199,14,0,0,3,0,0,0,0,2,2
0,6980.0,141817.0,5.0,5.0,0.344,11,3,1,1,0,0,0,0,0,5
0,10890.0,99999.0,7.0,5.0,0.205,11,1,0,1,0,0,1,0,4,5
0,9950.0,1.0,4.0,5.0,0.181,1,1,1,2,0,2,0,3,10,1
0,4999.0,141200.0,4.0,3.0,0.199,14,0,1,0,0,0,0,2,0,2
0,9000.0,243200.0,5.0,5.0,0.397,6,1,1,1,0,0,0,0,2,3
0,9890.0,35185.0,4.0,5.0,0.181,2,1,1,2,0,0,0,0,2,1
0,9900.0,39900.0,4.0,5.0,0.181,3,1,1,0,0,0,0,3,1,1
0,10990.0,39900.0,4.0,5.0,0.181,2,0,1,0,0,0,0,0,2,2
0,12950.0,7700.0,4.0,5.0,0.181,2,1,1,4,0,0,0,0,2,1
0,9900.0,102000.0,5.0,5.0,0.224,9,1,1,1,0,0,0,2,1,1
0,3945.0,151641.0,5.0,5.0,0.064,14,2,1,0,0,0,0,0,1,2
0,16450.0,24108.0,5.0,5.0,0.354,2,1,1,0,0,0,0,0,1,0
0,14890.0,1.0,3.0,4.0,0.4,7,1,1,1,0,0,0,0,0,5
0,12950.0,9547.0,4.0,5.0,0.181,1,1,1,2,0,0,0,3,5,1
0,3990.0,112676.0,4.0,5.0,0.181,16,1,1,6,0,0,0,0,0,1
0,19800.0,99990.0,3.0,4.0,0.4,5,0,1,1,0,0,0,0,2,5
0,14500.0,10.0,5.0,5.0,0.199,0,1,1,2,0,2,0,3,2,2
0,21800.0,33836.0,2.0,2.0,0.525,6,1,1,0,0,0,2,1,1,6
0,10440.0,34688.0,4.0,3.0,0.199,5,3,1,0,0,0,0,1,1,2
0,2899.0,113280.0,5.0,3.0,0.03,18,2,1,1,0,0,0,0,0,2
0,6990.0,97500.0,5.0,5.0,0.293,4,1,1,1,0,0,0,0,0,3
0,5945.0,101852.0,4.0,3.0,0.199,12,2,1,0,0,0,0,0,1,2
0,10500.0,26183.0,4.0,5.0,0.181,3,1,1,2,0,0,0,0,3,1
0,7000.0,134000.0,4.0,3.0,0.199,12,1,1,0,0,0,0,0,8,2
0,10900.0,118000.0,4.0,5.0,0.181,7,1,1,1,0,0,0,2,2,1
0,16850.0,57817.0,5.0,5.0,0.293,3,1,1,1,0,0,0,3,3,1
0,9990.0,26300.0,4.0,3.0,0.199,4,0,1,0,0,0,0,0,2,2
0,5450.0,157000.0,4.0,5.0,0.181,12,1,1,4,0,0,0,0,5,2
0,11000.0,1.0,4.0,5.0,0.181,2,1,1,2,0,4,0,0,2,1
0,11900.0,15000.0,5.0,5.0,0.181,2,1,1,2,0,0,0,0,1,1
0,12900.0,44809.0,5.0,5.0,0.293,2,1,1,0,0,0,0,0,2,1
0,22951.0,12.0,5.0,5.0,0.56,0,1,0,3,0,1,0,3,5,1
0,6900.0,172000.0,5.0,5.0,0.293,8,1,1,1,0,0,0,4,0,1
0,20900.0,10.0,5.0,5.0,0.344,0,1,1,1,0,4,0,0,6,1
0,13790.0,16626.0,4.0,3.0,0.199,5,3,0,0,0,0,0,0,1,1
0,18790.0,10.0,5.0,5.0,0.293,1,3,0,0,0,0,0,0,0,1
0,13450.0,51380.0,5.0,4.0,0.354,2,0,1,0,0,0,0,0,1,0
0,11900.0,25000.0,4.0,3.0,0.199,2,1,1,2,0,0,0,0,0,2
0,7400.0,68000.0,5.0,5.0,0.235,12,1,1,0,0,0,0,1,5,6
0,12555.0,23000.0,4.0,2.0,0.235,4,0,1,0,0,0,0,0,1,6
0,9150.0,80825.0,5.0,5.0,0.293,7,1,1,1,0,0,0,0,8,3
0,9490.0,27000.0,4.0,5.0,0.181,3,1,1,2,0,0,0,0,1,1
0,9200.0,50000.0,5.0,5.0,0.181,6,1,1,0,0,0,0,0,1,1
0,12490.0,10799.0,5.0,4.0,0.293,5,0,1,0,0,0,0,0,4,1
0,13925.0,10154.0,4.0,2.0,0.199,8,0,0,0,0,0,0,0,2,6
0,8790.0,73000.0,4.0,2.0,0.235,8,0,1,0,0,0,0,0,2,6
0,10800.0,59999.0,4.0,3.0,0.199,6,1,1,0,0,0,0,0,1,2
0,15400.0,43700.0,5.0,5.0,0.224,3,1,1,1,0,0,0,2,1,1
0,18900.0,10.0,4.0,3.0,0.401,2,1,0,3,0,0,0,3,0,1
0,20950.0,18347.0,5.0,5.0,0.354,1,1,2,2,0,0,0,2,2,0
0,12900.0,1.0,4.0,5.0,0.181,2,1,1,2,0,0,0,0,1,1
0,6900.0,170100.0,2.0,5.0,0.293,7,1,1,1,0,0,0,0,2,3
0,5900.0,129900.0,5.0,5.0,0.119,13,1,1,6,0,0,0,0,2,1
0,10900.0,39000.0,4.0,3.0,0.199,9,1,1,0,0,0,0,2,3,1
0,20660.0,22492.0,5.0,4.0,0.354,3,0,0,0,0,0,0,2,0,0
0,9900.0,42000.0,5.0,4.0,0.293,6,0,1,0,0,0,0,0,5,1
0,5900.0,152000.0,4.0,3.0,0.199,17,1,1,0,0,0,0,3,3,1
0,15250.0,14800.0,5.0,5.0,0.293,3,0,1,0,0,0,0,0,7,1
0,9790.0,48558.0,5.0,5.0,0.293,7,3,1,0,0,0,0,0,8,1
0,6390.0,97000.0,4.0,5.0,0.181,9,0,1,0,0,0,0,0,2,2
0,11900.0,30634.0,4.0,3.0,0.199,3,1,1,2,0,0,0,2,0,2
0,4950.0,149955.0,5.0,5.0,0.064,15,1,1,0,0,0,0,0,0,1
0,25945.0,5.0,5.0,5.0,0.571,1,0,0,3,0,2,0,0,5,0
0,11490.0,47064.0,5.0,5.0,0.354,8,3,1,0,0,0,0,2,10,0
0,12690.0,69969.0,5.0,5.0,0.344,5,1,1,6,0,0,0,0,3,5
0,11950.0,31000.0,4.0,5.0,0.181,2,1,1,2,0,4,0,2,1,2
0,18900.0,66000.0,5.0,5.0,0.344,3,1,1,1,0,0,0,2,1,5
0,11500.0,45000.0,4.0,5.0,0.181,2,1,1,4,0,0,0,0,0,2
0,17480.0,122716.0,2.0,4.0,0.397,5,0,1,1,0,0,0,0,0,5
0,10200.0,8000.0,5.0,4.0,0.293,9,1,1,0,0,0,0,0,1,1
0,9490.0,81409.0,4.0,2.0,0.199,8,3,1,0,0,0,0,0,0,2
0,13600.0,75972.0,5.0,5.0,0.354,3,1,1,0,0,0,0,0,2,0
0,8890.0,73000.0,5.0,5.0,0.119,7,1,1,4,0,0,0,0,0,1
0,16400.0,0.0,5.0,4.0,0.293,0,1,1,1,0,1,0,0,0,1
0,8300.0,40000.0,5.0,4.0,0.144,8,1,1,0,0,0,0,0,2,5
0,11941.0,139500.0,5.0,5.0,0.354,10,4,0,1,0,0,1,0,2,3
0,5990.0,105000.0,5.0,5.0,0.199,12,4,1,0,0,0,0,0,0,5
0,11900.0,69143.0,5.0,5.0,0.224,7,1,1,0,0,0,0,0,6,5
0,10897.0,32846.0,4.0,2.0,0.199,6,0,1,0,0,0,0,3,0,2
0,5800.0,171000.0,4.0,3.0,0.199,11,1,1,1,0,0,0,2,3,2
0,10500.0,76000.0,4.0,2.0,0.235,8,1,1,0,0,0,0,2,2,6
0,10900.0,46958.0,4.0,5.0,0.181,4,1,1,2,0,0,0,0,1,2
0,6900.0,126000.0,4.0,5.0,0.181,10,1,1,4,0,0,0,0,5,2
0,8900.0,104671.0,5.0,5.0,0.293,7,3,1,1,0,0,0,0,3,1
0,24200.0,1.0,5.0,5.0,0.571,1,1,0,2,0,2,0,0,2,0
0,13470.0,19926.0,4.0,3.0,0.199,3,0,1,0,0,0,0,0,1,6
0,11700.0,80000.0,5.0,5.0,0.293,5,1,1,1,0,0,0,0,0,1
0,1900.0,174839.0,5.0,5.0,0.001,17,1,2,1,0,0,0,4,1,3
0,5950.0,124636.0,4.0,3.0,0.199,13,2,1,0,0,0,0,2,1,2
0,9950.0,22972.0,4.0,5.0,0.181,3,1,1,0,0,0,0,3,2,1
0,16990.0,45980.0,5.0,5.0,0.354,7,0,0,1,0,0,1,2,1,0
0,11389.0,15658.0,4.0,3.0,0.199,5,0,1,0,0,0,0,0,2,2
0,3000.0,279357.0,6.0,5.0,0.03,21,1,1,1,0,0,0,0,1,5
0,14890.0,49000.0,5.0,5.0,0.354,6,1,0,0,0,0,0,2,0,0
0,14990.0,2745.0,5.0,5.0,0.289,1,0,1,0,0,3,0,0,2,2
0,16990.0,19168.0,5.0,5.0,0.354,2,1,1,1,0,0,0,0,0,0
0,4500.0,132333.0,2.0,4.0,0.144,11,0,1,1,0,0,0,0,0,7
